ゴミ分類区分,地区名,地区名(英語),収集曜日,祝日の収集,特別に収集する日,特別に収集しない日,適用開始日,適用終了日,標準地域コード
陶器・ガラス・金属ごみ,東五反田3丁目,"",第1土・第3土,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,東五反田3丁目,"",火,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,東五反田4丁目,"",月・木,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,東五反田4丁目,"",第1土・第3土,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,東五反田4丁目,"",火,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,東五反田5丁目,"",月・木,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,東五反田5丁目,"",第1土・第3土,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,東五反田5丁目,"",火,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,東品川1丁目,"",水・土,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,東品川1丁目,"",第2火・第4火,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,東品川1丁目,"",月,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,東品川2丁目,"",水・土,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,東品川2丁目,"",第2火・第4火,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,東品川2丁目,"",月,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,東品川3丁目,"",水・土,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,東品川3丁目,"",第2火・第4火,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,東品川3丁目,"",月,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,東品川4丁目,"",水・土,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,東品川4丁目,"",第2金・第4金,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,東品川4丁目,"",月,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,東品川5丁目,"",水・土,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,東品川5丁目,"",第2火・第4火,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,東品川5丁目,"",月,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,広町1丁目,"",水・土,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,広町1丁目,"",第1木・第3木,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,広町1丁目,"",月,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,広町2丁目,"",水・土,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,広町2丁目,"",第1木・第3木,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,広町2丁目,"",月,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,南大井1丁目,"",火・金,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,南大井1丁目,"",第2月・第4月,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,南大井1丁目,"",土,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,南大井2丁目,"",火・金,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,南大井2丁目,"",第2月・第4月,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,南大井2丁目,"",土,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,南大井3丁目,"",火・金,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,南大井3丁目,"",第2月・第4月,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,南大井3丁目,"",土,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,南大井4丁目,"",火・金,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,南大井4丁目,"",第2月・第4月,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,南大井4丁目,"",土,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
